rating,title,text,date,country
1,Avoid Sendle - not worth the hassle,"I launched an e-commerce business in Dec 2024 and used Sendle for some of my shipments. They lost 40 packages and it was overall a terrible experience. They contract with local delivery drivers on both ends of the delivery. There is a lot of opportunity for mistakes since it seems like the delivery people aren't invested at all in doing their job. Packages were picked up but never scanned properly so it looks like packages weren't picked up. Sendle will launch an investigation and then tell you they have no proof it was picked up and will not refund the shipping or allow you to file a product claim. For packages that get lost somewhere along the way, they will also try to investigate but make it difficult for you to file a claim. So I guess I'll just have to take the hit for a couple thousand dollars of shipping fees, lost product, and resending product so my customers actually get what they ordered. I'm very surprised that Sendle is still in business. Lesson learned, stick with the established carriers like UPS and FedEx with actual employees that care about doing a good job.","Jan 13, 2025",US
1,Terrible,Terrible! They pawned my package off on a third party to deliver…still no sign of my package and they are not taking responsibility.  They are basically blame shifting. Please avoid at all cost,"Jan 09, 2025",CA
1,the WORST courier ever,"the worst courier ever. the worst and most unethical peoeple ever!!! do not use their services. if you are a business and you send multiple packages, you will lose 2 out of every 12 packages. they will not cover the loss because they will eventually find the package after a month in a difference province. and then send that to the customer, when the customer has already taken a refund. i have lost 4 packages and shipping, and my account at amazon went to deactivation because of them. I HATE SENDLE .","Jan 02, 2025",CA
1,Courier doesn't show up for pick-up MULTIPLE times,"Had to reorganise pick-up THREE times due to the courier driver not showing up. Their pick-up window of 8am to 6pm is also ridiculous as some businesses operate between 9am to 5pm. Upon speaking to the second customer service agent they said someone would show up at 6pm that day that I scheduled the pick-up so I arranged for someone to stay late in the office and guess what? They didn't show up. What a waste of time and resources. Also, their 'Pick-up Guarantee' is an absolute joke: ""If for some reason we still do not attempt the pickup the business day after the scheduled day, we will refund the cost of the delivery. We will still attempt to pickup and deliver the parcel."" I received no apologies or refunds. Originally scheduled Dec 10 then 13 then FINALLY picked up on 16. I would avoid using Sendle if you can.","Jan 06, 2025",AU
5,i think service varies a lot depending on area,"It's my first time using sendle, and if things go this well everytime, i will absolutely switch to them as my primary shipping company!Booked a pickup yesterday evening for today, the driver has already picked up my parcel and he was an absolute joy to interact with. Rates are also more affordable than Canada Post, which is nice. I guess service depends on where you live, because Australia reviews seem to be incredibly bad; which had made me nervous to try them out at first. I'm glad i still did. If you reside in QC or Ontario, i think this company is absolutely worth trying out!","Dec 06, 2024",CA
5,Amazing Job!,"Since CP is on strike, I decided to use SENDLE for the first time and ship a parcel from London, Ontario to Quebec. The whole shipping process was so easy! I printed my label and used a drop off location they suggested which was super convenient and could track it the entire time! I dropped it off on a Saturday and it was picked up first thing Monday morning and arrived in Quebec 2 days later. Amazing Job! Will definitely use them again!","Dec 04, 2024",CA
1,During the Canada Post strike we used Sendle ...,"While it was helpful to have a delivery method during the postal problems, there are significant issues and flaws with the service that make it very not useable for retail and business purposes where transparent tracking and timely delivery are necessary. The Number 1 problem with Sendle and ICS Courier is, as stated above, the lack of transparent tracking. A parcel can have - and usually does have - multiple carriers when sending via ICS | Sendle, including an initial freight handler that deals with ALL parcels dispatched. A customer and seller will both receive a ""delivered"" notification when only the freight handler or one of multiple carriers involved receives the parcel yet, the item is not ""delivered"" to the customer and they are confused. You have to message into Sendle directly each time to get all the latest tracking numbers and then communicate these constantly to your buyer. The Number 2 problem relates to claims and insured coverage. When a parcel is lost in transit, Sendle does not easily refund you the shipping or insured value. In our case, they wanted an Affadavit of loss even though they had the buyer email, the buyer's confirmation of non-receipt of goods and the online invoice showing sale value. I will never use them again.","Jan 19, 2025",CA
1,Poor shipping company and fraudulent transactions.,"The package I was sending from Australia to China did not leave my country for 45 days and arrived to China three days after maximum date promised. Decided to charge me more before delivery to receiver, claiming parcel heavier than listed which is a lie. Cannot track your items properly and only communicate with online staff which takes hours to get any response. Do not use them, rippoff merchants.","Dec 14, 2024",BE
2,Like many people on here used Sendle…,"Like many people on here used Sendle for my business and while the CP strike is on.  I love their pricing!  Very affordable.  However, like someone else mentioned.  I sent an expensive order out to a customer.  It got lost in transit and was showing it hadn't been sent. I've contacted them three times.  Still has not been resolved.  The order was lost and no one has contacted me. My customer is angry, rightfully so.  Now I have to replace the order again for another $200 + shipping again!   Not happy. I wished someone would provide a contact number so this could be resolved. Or provide me with a resolution and compensation for them losing my package.","Dec 15, 2024",CA
1,Bunch of brain dead idiots who during…,Bunch of brain dead idiots who during the Canada post strike outsourced my packages to Canada post even tho it’s supposed to be through ICS courier as the label says and they won’t refund. Why give it to Canada post in the first place if it’s supposed to be ICS?,"Dec 16, 2024",CA
1,Don't trust them,They use couriers please to pick your item up but then they just sit on for 2 weeks (now 20 days and they tell me they will post it on the 22nd a full month after pickup) and then send it internationally. What a joke you're much better off if you can at all get to a post office or get somebody to take it to a post office or dhl it or something. And they don't care at all they just give you a bloated delivery time estimate range,"Dec 10, 2024",US
1,Wish I could give no stars,"Package sent from Dryden ON to Thunder Bay and then to Etobicoke, when it was supposed to go to Rainy River, (3.5 hours south of Dryden and 5.5 west of Thunder Bay). It apparently took 6 days to go to Thunder Bay ( via camel train?) from Dryden, then a day later it's in Etobicoke ( Toronto Area, 23 hours south east ), it has been sitting there since for 6 days. Did these idiots ever take a geography course? The AI bot is useless and of course no phone number. Beware Canpar uses these useless people.","Dec 24, 2024",CA
1,Lost my package and shipped it back to me,"They said they couldn't deliver the package as they didn't have enough information.  Tried to contact them to see what else they needed, no phone # available, just through the website, then finally contacted them through email.  They said they tried to deliver it twice (the recipient works from home, no one showed), they lost the package for a week and then sent it back to me!!!","Dec 11, 2024",CA
1,This company has proven to be highly…,"This company has proven to be highly unreliable.Five parcels were picked up on December 5, 2024, and have yet to be delivered. The company’s website attributes the delay to heavy rain in the Gold Coast area; however, this claim is demonstrably false.Sendle offers no direct point of contact within Australia. Customer support is limited to an online chat and a call center operated offshore, making it impossible to escalate concerns effectively. When we requested contact information for their Australian office, no such details were provided. Instead, we were met with repeated assurances that an “investigation is underway,” with no clear resolution in sight.These parcels were intended as Christmas gifts for clients and remain undelivered, with no indication of their whereabouts. This lack of accountability and transparency has left us frustrated and unable to seek timely assistance.We strongly advise others to avoid using this company and will be reporting their conduct to the ACCC for further investigation.","Jan 07, 2025",AU
1,Can I give negative!,"What an inept company, brutal service, they didn't even try to deliver my package and sent me a picture saying its a large location a tourist destination. It went to the hub and back to my house. They blamed me for their default setting of leave in a safe space. DO NOT USE THESE INCOMPTENT FOOLS.Their customer service is worse than CANADA POST if you can believe that. One an done goofs. Enjoy the demise of your company and crap culture, because you won't last","Nov 27, 2024",CA
1,Absolute garbage,"Ordered 10 days ago, they took 10 days to pick it up, then quoted another 12 days to deliver it.  I paid for expedited shipping!!! Garbage service, no contacts available in canada so you can't contact them, no care in the world to meet sla and zero customer service. I will NEVER use them or buy from a company that uses them.","Dec 15, 2024",CA
1,Package never picked up,"Since CP is on strike I had to look for an alternative to get my Xmas package shipped. It was easy to book a pickup online but day 1 came and went....no pick up. By day 4 and no updates from Sendle and the pack still not picked up, I had to cancel because it is now past the cutoff date to make it to the destination by Christmas. Very poor communication. They shouldn't have accepted my booking knowing how backlogged their orders are.","Dec 12, 2024",CA
1,Incompetent and Unable to speak to a Human,"Every package allegedly delivered via Sendle to our small townhouse complex of 10 units, is dumped in our ""open to the street"" rubbish bin enclosure outside the complex gates on the driveway. In many cases parcels have just been stolen or disappeared. There is an easily accessible pedestrian gate for the courier to deliver parcels to the correct unit number however this would require actually doing his job and putting in a bit of effort to walk a bit further, so obviously it's just easier to jump out of the van and dump it in the rubbish bin enclosure than actually deliver it to the correct townhouse door. Lazy, incompetent and unprofessional. A few residents have lodged complaints but nothing changes and I was actually told the drivers endeavour to leave parcels in a safe place!  On what planet is an outside rubbish bin enclosure a safe place when it should be delivered to the actual unit number addressed clearly on the parcels. It is pure laziness and lack of care. I am fed up with this happening as are several other residents here in this complex. We will be taking our complaints about Sendle to the ACCC as they are operating their business in a shonky dishonest lazy incompetent way and are virtually impossible to speak to. AVOID USING SENDLE AT ALL COSTS.","Jan 08, 2025",AU
1,WIPE THIS COMPANY OUT,"they are a complete disgrace...from inner city sydney to the central coast of nsw 4 weeks later they admit its lost and prompt me to submit a claim... two days after a claim submit they inform me they have found the parcel and are returning it to me ...yes...me not the destination..With the box returned all bashed up and had being opened and crudely taped back up with the plants inside dead...that explains a lot... on the claim form it was stated they wouldnt cover live plants...but hang on , they didnt know it had live plants...i didnt say it did... so it had been opened before i claimed and they already had it ...it wasnt lost at all... this company lies and have zero ethics..the worst of the worst !!","Jan 03, 2025",AU
1,"Irresponsible, pathetic service","I wish I would have seen the reviews before using their service.its been 3 daya and no one has showed up to pick up my package. And everyday they update the status that address is closed although the instructions clearly says the package is in letter box.No one came to the door trued to knock or ring the bell. I have the cameras at the property and I cant see anyone coming up and trying to retrieve the package.Irresponsible, pathetic service","Nov 20, 2024",AU
1,SENDLE MISSED PICKUP 3 DAYS IN A ROW & STILL COUNTING... EPIC FAIL,"Shocking first time experience using Sendle on Ebay: At closest (& only) Sendle drop off point in Redfern, system was down & unable to scan parcel. Asked me to come back but still not fixed by end of day. I notified Sendle re problem, found next closest location & dropped off parcel in Surry Hills... 72 HOURS LATER - PARCEL HASNT MOVED & SYSTEM FAILURE AT 1ST LOCATION STILL NOT FIXED. Followed up with Sendle Help every day - they keep telling me a driver is assigned & due to collect that day. Original delivery timeframe 4-5 days but now on DAY FOUR & precisely ZERO progress. Ebay promotes these clowns as preferred suppliers which is totally crazy when they're this useless!! Conveniently Ebay will hold my payment til delivery is confirmed & no hope of being paid before Christmas now which is the whole reason I sold the item!! 72hrs delay is unacceptable & still counting! How can drivers get away with not bothering to complete a booking 3 DAYS IN A ROW??? This should NOT happen!! First AND last time I'll use Sendle - even Australia Post is more efficient & that's saying something! Sendle's pathetic performance reflects badly on Ebay sellers & will probably provoke bad feedback from my buyer who is sadly unlikely to see his purchase in time for Christmas. Thanks a lot Sendle!!","Dec 19, 2024",GR
1,"Missing package, No help.","I was going to use sendle after the strike. 1 of my packages went missing, after 3 weeks, they tell me I have to wait another 12 days before I can even start a claim. So I have to send customer another item. I am out of pocket, and lost confidence, Back with Canada post again.","Dec 19, 2024",CA
1,We never received our Very disappointed 😔3 packages,We never received our 3 packages. How can packages get lost? I'm very disappointed as these 3 packages contained our personal item from our cross country move that ended up staying behind. Our friends mailed to us and now our personal belongings are forever lost. Very 😔 sad. I am praying that somehow a mircle will take place and we at some point might get them.,"Nov 08, 2024",US
1,Absolutely awful.,"Absolutely awful.For one package they picked up, which had expensive camera equipment in it, they actually opened the package and separated the camera parts into two different shipments without any communication. I received some of the parts in new packaging, and had no idea for a few days where the other parts were.Then for other pickups, they just don't show up for days, and eventually after I cancel and use aus psot instead, they send multiple pickup drivers to my house over a week later.","Nov 20, 2024",AU
1,Don't bother,Parcel has been sitting on my porch for a week now uncollected. Sendle consistently just blaming the courier without bothering to provide me with a proper investigation or update. Why is it so hard for this company to provide the service I'm paying for? Won't be using them again after this experience.,"Nov 29, 2024",AU
1,Just don’t- send your item via carrier…,"Just don’t- send your item via carrier pigeon it will get there quicker and more honestly. I have been waiting for an item for well over 2 weeks sent from within Australia. The courier has lied straight up about attempting to deliver- no one attended our property that day and we were home. They were also instructed to leave on the verandah- no one did or leave a card like they said they did. Trying to get a redelivery is awe full service. No phone service, no response to helpbot, and finally they got back to me after I submitted, I will admit, sarcastic comments and finally said I was going to consumer affairs. No apology, no sign of package coming and I don’t actually believe that the courier will come to our house and drop item off as requested.","Dec 03, 2024",AU
1,My experience with this shipping…,"My experience with this shipping company was very disappointing. While the initial price seemed attractive, the service fell far short of expectations. I booked a shipment and scheduled an appointment to receive the package after 3 days, but 8 days later, there was still no progress or action from the company.This delay caused frustration, and the recipient ultimately canceled the order. Overall, it was a lonely and frustrating experience. I do not recommend dealing with them.","Dec 17, 2024",CA
1,Worst delivery courier,"Worst delivery courier service.  Updates tell me that it is being sorted and then left the facility for delivery, then another update telling me that it is still being sorted and then out for delivery.  Worst courier service ever! Never got package.","Dec 22, 2024",CA
1,Caution. Very long delivery times from Perth.,"The delivery time from Perth to anywhere is ridiculously long.  The stress it causes me as a casual eBay seller is not worth it.  Be cautious that if you ask for an investigation into a non-delivered package, they take longer by taking 7 days to find the parcel. If not located you can claim on their insurance but this will cover refunding the buyer not the additional missing item.","Oct 24, 2024",AU
1,"Lack of tracking, extra charges, missing parcels","1. Their local drop off spot says they don’t have a contract with Sendle and  that they shouldn’t be on Sendles website as such. So, they charge $2 to drop off a parcel. This is above what I paid Sendle for the shipping.2. Tracking doesn’t get updated very often. Have parcel sitting now 7 days in their system with no updates. 3. Missing parcels marked delivered. I’m not a huge shipper. Shipped 5: 2 marked delivered (1 missing), 1 out for delivery, and 2 in transit as I write this. Prices are okay, but time to check out other shipping options.","Dec 09, 2024",CA
1,If there was a zero category it would…,"If there was a zero category it would be for these delivery bros from Brisbane.  They basically have a a half baked tracking system that is so understaffed that after waiting a hour on chat to speak to some one I gave up.  They also have by default ""Authority to Release"" as the standard rate and if the shipper wants a signature it's an extra $5.  The problem is there is an epedemic of parcel thefts everywhere, an the building I live in is no exception.  On top of that they are a virtual company who hires courier companies who have couriers on contract.  These bros are just trying to scape a little off the top and provide virtually nothing.My package was ""on delivery"" according to their website for close to 48 consecutively with a couple of trips back to a depot 70 miles away.  They blame this on increased volume, but none of the 5 other couriers I use weekly do not say this.  They also game the review sites to get better ratings by hiring people to write positive reviews.  Believe me, it's all a lie.I would avoid them like they had a disease.","Dec 13, 2024",CA
1,If there was an option for zero stars…,If there was an option for zero stars that is what I would chooseA package stayed on my.front porch for over a week . And the company lies says that attempted pickup but package not ready haha . Then to chat with gold chanp customer service is a run around ..After a week and a bit I refunded my customer and cancelled the pickup.. this service is unreliable .. run from this company.  They will embarrass you.,"Dec 07, 2024",CA
1,They lost 2 of my parcels,"During the Canada strike I used Sendle. They lost 2 of my parcels, refused to refund. Horrible ! If I could I would put 0 for their service! No Trust!!!","Jan 08, 2025",CA
1,They are completely incompetent!!,"I would trust a team of baboons more with my packages delivery. The shipping “updates” they provide are lies and inaccurate. Their warehouse team has apparently been holding my item from last Thursday until Sunday night without delivering it to usps to deliver, but they’d like me to be “patient”. I “communicated” through their support websites live chat with a representative, and after they started explaining themselves and asking for patience they removed my ability to send responses in the chat, so don’t bother reaching out if you have problems. They will make up more fake updates and remove your ability to send anymore information.","Dec 02, 2024",US
1,Don't do anything with them,Don't do anything with them. Worst worldwide company doing business in Canada with the 2nd worst courrier service ever.,"Dec 20, 2024",CA
1,Have Hurt My Business On More Than One Occasion,"On numerous occasions there has been no pickup followed by no attempt at a re-pickup. My office is literally 1 minutes walk from a post office. Fielding questions from annoyed customers knowing that a more reliable service was only a stone's throw away is agony. Sendle you HAVE to take CouriersPlease out of your network. Sure they might consistently bid the lowest to secure more jobs, but they clearly have no issue constantly breaching SLAs.Either deliver on your promises, or charge more until you can.","Jun 28, 2024",AU
1,"Not reliable, potential exploitation.","Sendle is not a reliable service, not turning up on expected day often, extremely narrow accepted package dimensions. Limited customer service when something goes wrong. I've also noted recently they have dropped their rates. This starts to ring alarm bells for me, not enticing me to use them again. Do drivers get fairly compensated or are they being exploited here? While most carriers rates are increasing in 2023/24 as fuel and running costs go up, Sendle drops their pricing. No thanks, dodgy dodgy dodgy.","Apr 24, 2024",AU
2,Very unreliable failed 3 consecutive times do not use,"Very unreliable I used this service three times and my parcel was not picked up on the schedule day EVERY SINGLE TIME! That's parcel not picked up on THREE CONSECUTIVE OCCASIONS! Every time I chat to their operator they tell me the same thing, that 'occasionally' traffic is high and parcel don't get picked up. OCCASIONALLY does not mean every single time for 3 consecutive times! They use contract drivers and they clearly don't care about the job. 2 star review only because the chat operators are well mannered.","Apr 15, 2024",AU
1,Great if they actually show up,"They literally never pick up on time. The system automatically schedules the pick up again for the next day, which again results in the driver not showing up again. Every time this happens I go to the chat because there is zero phone number to contact them. I am told someone will come that day. Lo and behold no one shows again. Ask for a manager as this is continuous problems almost with every shipment. No manager called me. I am canceling the account as it’s is just not worth the follow up on packages.","Oct 30, 2024",CA
1,Sendle does not help me track my order…,Sendle does not help me track my order which is already lost in transition somewhere.  I am extremely disappointed in their delivery.  Or should I say non delivery.  It was meant to arrive 2 weeks ago..........,"Oct 21, 2024",AU
1,Terrible company,"Terrible company. Lost x15 of my packages from Australia to Europe with no refund. No communication, very slow to look into what happened. Parcels are now said to be destroyed by DHL due to their lack of communication. Has damaged my business, lost me a lot of money and damaged my reputation. No offer of a refund or any compensation.After using for years, I will NEVER use again.","Jul 10, 2024",GT
1,Never......NEVER......allow a parcel to…,"Never......NEVER......allow a parcel to be sent via Sendle. It will sit in a depot for weeks and launching an investigation will go completely ignored. The drivers they hire in Canada come from another city and have no idea where they are going and your parcel just gets stuck in a pile in their depot because they dont know how to find your house, no matter how easy you make it for them. It's stunning how their drivers can't deliver a simple package. I've given up on ever seen my parcel.","Aug 06, 2024",CA
1,This company is clearly a scam,This company is clearly a scam. I'm not even sure they attempt to send items. Under no circumstance should you use his company as a business owner. Nor should you buy anything from any company that uses this as their shipper. Stay very far away. You're better off using FedEx so you can believe it.,"Aug 25, 2024",US
1,Don't bother,"Sendle is very good at 'understanding your frustrations', but not at actually getting the parcels picked up that you pay to be sent My parcel sat on my front porch for an entire week from Monday to Friday and didn't get picked up. I submitted two enquiries with support agents who were very apologetic and assured me they were doing everything they can to get my parcel picked up the next day, but yet each time I get home from work the next day and there it is still sitting there. Couriers Please are also to blame as they are the actual courier that Sendle organised to pick up the parcel in question, they have a bad enough reputation in themselves.Sendle did give me my money back after I complained the second time, but what's the point of the service if they don't even pick up the parcel? If you have an online business, don't even consider Sendle if you have any respect for your business's reputation. You will definitely have some negative reviews coming your way if you do.","Nov 29, 2024",AU
1,Worst courier service ever,"Worst courier service ever! Packages were at my door for THREE WEEKS waiting for collection. After so many back and forth a with ‘customer service’ who said ‘tomorrow’ ‘we have escalated this’ ‘blah blah’ still zero results. No phone number, poor communication, RUN!DO NOT USE","Apr 24, 2024",AU
1,Cheap prices using cheap incompentent drivers,"Purchase a item online from ebay, the item was sent using Sendle. We are a business with a large corner block in a industrial area, we have large signage stating who we are and out Lot number, we have been here for 20 years. We are Lot 11 and are on a two road corner, when we buy online we use our address and also state the two road corner we are on. The drives that Sendle use to deliver parcels are so incompetent they go to number 11 which is a vacate block, get confused backup and drop of at number 9 on the front step, and call this delivered. This is a ongoing problem which I am sure I am not the only one who has this happen to them. I am now going to try to only use the corner of the two roads as my address for my deliveries let see if they still can't find me.","Nov 01, 2024",AU
1,Delivery time FAIL.,Delivery time FAIL.Once again 2 years later same old this courier should NOT exist.Delivery date FAIL never seem to get items delivered as they say they will. BUYERS if your seller uses Sendle BUY ELSEWHERE if you want item delivered ON TIME! Very good at delaying deliveries.Plenty of excuses BUT NO action to solve issue IN WA!,"Dec 12, 2023",BN
3,"Sendle , delivery takes way too long.","Sendle has to be the worst delivery service in terms of time to deliver that I have experienced. Have had a number of parcels from them. Guaranteed to be delayed and take way longer than anyone else. However, parcels have arrived safely and delivered to my  door. However, I now try to avoid sellers that use them for deliveries.","Dec 19, 2023",AU
1,Zero stars for me,"Unfortunately I am unable to leave a zero start rating. The service has dropped off, late pick ups and deliveries. Customer service team read off scripted notes, not offering any relevant or helpful information. They are being pushed by Ebay due to cheap rates, but you get what you pay for. I will not use again.","May 01, 2024",AU
1,"Don't use,  You will be charged double or tripled when the items gets delivered. use","Dont use, Ive been using them for two months. What they change when you print the labels , Will be double or tripled when the items get delivered. Every package sent was inside their calculator weight and measurement chart but sill was charged double or tripled. Never got message of any changes tried contacting them, But all they have is AI run around messages.","May 03, 2024",AU
1,I would rate them 0 stars if I could,"I would rate them 0 stars if I could. Held my package for more than a week in their depot. Couldn’t do a customer pickup because it takes 48 hours to process… no it’s just laziness. Terrible “customer service”. I had to chase up every single update, they never took initiative to talk to me. I ended up telling them how much of a piece of crap (worded differently) company they are and I don’t ever do that. Never gave the initiative to give me notice when it was delivered. I of course had to send an email to let them know. Full of laziness, disorganisation and lack of training.","Oct 01, 2024",AU
5,"Ship with sendle and save time,money.at your own convenience from home.","Sendle shipping is very convenient it's very easy to navigate with the website, its cheaper than any other shipping company, its fast shipping and I dont even have to leave my home to continue to work and send out orders .thanks sendle I love your business. Yes I recommend 100%","Jun 03, 2023",US
3,Sendle needs to get reliable drivers…,"Sendle needs to get reliable drivers who pick up when they should. Or follow their own guidelines/promises that they'll send a dedicated driver to pick up if items haven't been collected on time. A pick up time from 8am-6pm is just ridiculous. No small business I know opens at 8am and closes at 6pm. I have my driver's mobile number and most times he won't even respond if I ask if he's still picking up. Being a sole operator I'm stuck at my office all day till he turns up -- that is, IF he turns up. A simple response to my text would be fine, but no, he simply can't be bothered to tell me he's not coming. There goes another day that I'm held captive at my premises. It's extremely frustrating.","Aug 31, 2023",AU
1,Stay away from this company,"Stay away from this company. They do not pick up the parcels and then put a false notification for customers saying saying parcels were not ready  complaint many times but no in vain. worst customer service, they say they are investigating the issue reported but they do not do anything. My business is not going to use Sendle anymore.","Sep 19, 2024",AU
1,They're beyond joke,"They're beyond joke. I am very frustrated as it's been 2.5 weeks and my international parcels are still sitting somewhere ""Arrived at depot, awaiting collection by international provider."" When I contact sendle about it, it's always the same answer that they're waiting for their provider to scan the parcels. They say anything else. I will never use them again!! I could've saved myself the stress of this if I went with another company. Now my business looks ridiculous because I can't even provide answers to my customers.","Apr 24, 2024",AU
1,Truly a waste of time,"Truly a waste of time,  can't understand why any business would use this service.  The tracking number is internal and means nothing.  Updates are hilarious and complete guesses, out for delivery doesn't actually mean you are getting your parcel that day,  just means it's possibly on a truck somewhere on the planet.  It's so bad you start wondering if the business you bought the product from is just a scam.","Dec 05, 2023",CA
1,Delivered my parcel to another address,"Delivered my parcel to another address. Extremely unhelpful. Almost impossible to get into direct contact with them. I suspect so you can't complain about their inadequate service to them. The company I had initially brought from had to reach out to them, sendle said they would rectify the issue to no avail.","Jun 03, 2024",AU
1,Lost/stole my laptop sent to eBay buyer,"Sent a $610 laptop + $23 postage to an eBay buyer 31/5 from Gold Coast to NSW. It got scanned twice in transit up to 9/6 (they don't give the locations), then it ""disappeared"". What's the point of tracking no's?Investigation commenced 14/6. 2/7/23 still waiting on $300 cover promised by Sendle. Obviously some of their staff are thieves!","Jul 02, 2023",AU
1,clowns,"clowns, don't even try to deliver, just drop a note saying no one home then drop it off at a depo 30km, then support reckon it will take another 3-4 work days for them to try and redeliver... boycott all ebay sellers that use these muppets","Mar 01, 2024",AU
1,Was informed my parcel had been…,"Was informed my parcel had been delivered at midday last Wednesday, come the Friday 3pm still nothing so informed them I was starting the refund process. The sender then informs me that I’m being unreasonable ( worse than that) and they have stoped delivery and recalled the package. Strange, if it’s supposed to have already been delivered!","Aug 02, 2024",AU
1,These clowns took longer to move a…,These clowns took longer to move a parcel between 2 Sydney suburbs than Amazon took to move a parcel from rural Scotland to Sydney. They told me it was on board for delivery the left me hanging for 5 days before providing an update . They don’t  answer messages at weekends or out of office hours.,"Feb 05, 2024",AU
1,No oversight on workers,"Package was meant to be arriving today but was reported as “damaged”. Speaking to the rep apparently all of their couriers have the authority to mark any package as damaged with no oversight as they “trust their couriers”. They don’t even have to provide a photo! No compensation is then provided to the receiver and the sender is forced to claim on insurance. Totally useless company, avoid at all costs.","Feb 26, 2024",AU
