rating,title,text,date,processed_text
1,Avoid Sendle - not worth the hassle,"I launched an e-commerce business in Dec 2024 and used Sendle for some of my shipments. They lost 40 packages and it was overall a terrible experience. They contract with local delivery drivers on both ends of the delivery. There is a lot of opportunity for mistakes since it seems like the delivery people aren't invested at all in doing their job. Packages were picked up but never scanned properly so it looks like packages weren't picked up. Sendle will launch an investigation and then tell you they have no proof it was picked up and will not refund the shipping or allow you to file a product claim. For packages that get lost somewhere along the way, they will also try to investigate but make it difficult for you to file a claim. So I guess I'll just have to take the hit for a couple thousand dollars of shipping fees, lost product, and resending product so my customers actually get what they ordered. I'm very surprised that Sendle is still in business. Lesson learned, stick with the established carriers like UPS and FedEx with actual employees that care about doing a good job.","Jan 13, 2025",launched business dec 2024 used sendle shipment lost 40 package overall terrible experience contract local delivery driver end delivery lot opportunity mistake since seems like delivery people invested job package picked never scanned properly look like package picked sendle launch investigation tell proof picked refund shipping allow file product claim package get lost somewhere along way also try investigate make difficult file claim guess take hit couple thousand dollar shipping fee lost product resending product customer actually get ordered surprised sendle still business lesson learned stick established carrier like ups fedex actual employee care good job
1,They got my address horrifically wrong,"They got my address wrong, had a city that didn't even exist, even though sender gave them the correct address. Apparently they can't google even Google a postal code. Pathetic","Jan 15, 2025",got address wrong city even exist even though sender gave correct address apparently ca google even google postal code pathetic
1,Terrible,Terrible! They pawned my package off on a third party to deliver…still no sign of my package and they are not taking responsibility.  They are basically blame shifting. Please avoid at all cost,"Jan 9, 2025",terrible pawned package third party sign package taking responsibility basically blame shifting please avoid cost
1,the WORST courier ever,"the worst courier ever. the worst and most unethical peoeple ever!!! do not use their services. if you are a business and you send multiple packages, you will lose 2 out of every 12 packages. they will not cover the loss because they will eventually find the package after a month in a difference province. and then send that to the customer, when the customer has already taken a refund. i have lost 4 packages and shipping, and my account at amazon went to deactivation because of them. I HATE SENDLE .","Jan 2, 2025",worst courier ever worst unethical peoeple ever use service business send multiple package lose 2 every 12 package cover loss eventually find package month difference province send customer customer already taken refund lost 4 package shipping account amazon went deactivation hate sendle
1,Courier doesn't show up for pick-up MULTIPLE times,"Had to reorganise pick-up THREE times due to the courier driver not showing up. Their pick-up window of 8am to 6pm is also ridiculous as some businesses operate between 9am to 5pm. Upon speaking to the second customer service agent they said someone would show up at 6pm that day that I scheduled the pick-up so I arranged for someone to stay late in the office and guess what? They didn't show up. What a waste of time and resources. Also, their 'Pick-up Guarantee' is an absolute joke: ""If for some reason we still do not attempt the pickup the business day after the scheduled day, we will refund the cost of the delivery. We will still attempt to pickup and deliver the parcel."" I received no apologies or refunds. Originally scheduled Dec 10 then 13 then FINALLY picked up on 16. I would avoid using Sendle if you can.","Jan 6, 2025",reorganise three time due courier driver showing window 8am 6pm also ridiculous business operate 9am 5pm upon speaking second customer service agent said someone would show 6pm day scheduled arranged someone stay late office guess show waste time resource also guarantee absolute joke reason still attempt pickup business day scheduled day refund cost delivery still attempt pickup deliver parcel received apology refund originally scheduled dec 10 13 finally picked would avoid using sendle
1,During the Canada Post strike we used Sendle ...,"While it was helpful to have a delivery method during the postal problems, there are significant issues and flaws with the service that make it very not useable for retail and business purposes where transparent tracking and timely delivery are necessary. The Number 1 problem with Sendle and ICS Courier is, as stated above, the lack of transparent tracking. A parcel can have - and usually does have - multiple carriers when sending via ICS | Sendle, including an initial freight handler that deals with ALL parcels dispatched. A customer and seller will both receive a ""delivered"" notification when only the freight handler or one of multiple carriers involved receives the parcel yet, the item is not ""delivered"" to the customer and they are confused. You have to message into Sendle directly each time to get all the latest tracking numbers and then communicate these constantly to your buyer. The Number 2 problem relates to claims and insured coverage. When a parcel is lost in transit, Sendle does not easily refund you the shipping or insured value. In our case, they wanted an Affadavit of loss even though they had the buyer email, the buyer's confirmation of non-receipt of goods and the online invoice showing sale value. I will never use them again.","Updated Jan 19, 2025",helpful delivery method postal problem significant issue flaw service make useable retail business purpose transparent tracking timely delivery necessary number 1 problem sendle ic courier stated lack transparent tracking parcel usually multiple carrier sending via ic sendle including initial freight handler deal parcel dispatched customer seller receive delivered notification freight handler one multiple carrier involved receives parcel yet item delivered customer confused message sendle directly time get latest tracking number communicate constantly buyer number 2 problem relates claim insured coverage parcel lost transit sendle easily refund shipping insured value case wanted affadavit loss even though buyer email buyer confirmation good online invoice showing sale value never use
5,"Ship with sendle and save time,money.at your own convenience from home.","Sendle shipping is very convenient it's very easy to navigate with the website, its cheaper than any other shipping company, its fast shipping and I dont even have to leave my home to continue to work and send out orders .thanks sendle I love your business. Yes I recommend 100%","Jun 3, 2023",sendle shipping convenient easy navigate website cheaper shipping company fast shipping dont even leave home continue work send order sendle love business yes recommend 100
1,Poor shipping company and fraudulent transactions.,"The package I was sending from Australia to China did not leave my country for 45 days and arrived to China three days after maximum date promised. Decided to charge me more before delivery to receiver, claiming parcel heavier than listed which is a lie. Cannot track your items properly and only communicate with online staff which takes hours to get any response. Do not use them, rippoff merchants.","Dec 14, 2024",package sending australia china leave country 45 day arrived china three day maximum date promised decided charge delivery receiver claiming parcel heavier listed lie track item properly communicate online staff take hour get response use rippoff merchant
3,"Sendle , delivery takes way too long.","Sendle has to be the worst delivery service in terms of time to deliver that I have experienced. Have had a number of parcels from them. Guaranteed to be delayed and take way longer than anyone else. However, parcels have arrived safely and delivered to my  door. However, I now try to avoid sellers that use them for deliveries.","Updated Dec 19, 2023",sendle worst delivery service term time deliver experienced number parcel guaranteed delayed take way longer anyone else however parcel arrived safely delivered door however try avoid seller use delivery
1,Bunch of brain dead idiots who during…,Bunch of brain dead idiots who during the Canada post strike outsourced my packages to Canada post even tho it’s supposed to be through ICS courier as the label says and they won’t refund. Why give it to Canada post in the first place if it’s supposed to be ICS?,"Dec 16, 2024",bunch brain dead idiot canada post strike outsourced package canada post even tho supposed ic courier label say refund give canada post first place supposed ic
1,Don't trust them,They use couriers please to pick your item up but then they just sit on for 2 weeks (now 20 days and they tell me they will post it on the 22nd a full month after pickup) and then send it internationally. What a joke you're much better off if you can at all get to a post office or get somebody to take it to a post office or dhl it or something. And they don't care at all they just give you a bloated delivery time estimate range,"Updated Dec 10, 2024",use courier please pick item sit 2 week 20 day tell post 22nd full month pickup send internationally joke much better get post office get somebody take post office dhl something care give bloated delivery time estimate range
2,Very unreliable failed 3 consecutive times do not use,"Very unreliable I used this service three times and my parcel was not picked up on the schedule day EVERY SINGLE TIME! That's parcel not picked up on THREE CONSECUTIVE OCCASIONS! Every time I chat to their operator they tell me the same thing, that 'occasionally' traffic is high and parcel don't get picked up. OCCASIONALLY does not mean every single time for 3 consecutive times! They use contract drivers and they clearly don't care about the job. 2 star review only because the chat operators are well mannered.","Apr 15, 2024",unreliable used service three time parcel picked schedule day every single time parcel picked three consecutive occasion every time chat operator tell thing traffic high parcel get picked occasionally mean every single time 3 consecutive time use contract driver clearly care job 2 star review chat operator well mannered
1,Wish I could give no stars,"Package sent from Dryden ON to Thunder Bay and then to Etobicoke, when it was supposed to go to Rainy River, (3.5 hours south of Dryden and 5.5 west of Thunder Bay). It apparently took 6 days to go to Thunder Bay ( via camel train?) from Dryden, then a day later it's in Etobicoke ( Toronto Area, 23 hours south east ), it has been sitting there since for 6 days. Did these idiots ever take a geography course? The AI bot is useless and of course no phone number. Beware Canpar uses these useless people.","Dec 24, 2024",package sent dryden thunder bay etobicoke supposed go rainy river hour south dryden west thunder bay apparently took 6 day go thunder bay via camel train dryden day later etobicoke toronto area 23 hour south east sitting since 6 day idiot ever take geography course ai bot useless course phone number beware canpar us useless people
3,Sendle needs to get reliable drivers…,"Sendle needs to get reliable drivers who pick up when they should. Or follow their own guidelines/promises that they'll send a dedicated driver to pick up if items haven't been collected on time. A pick up time from 8am-6pm is just ridiculous. No small business I know opens at 8am and closes at 6pm. I have my driver's mobile number and most times he won't even respond if I ask if he's still picking up. Being a sole operator I'm stuck at my office all day till he turns up -- that is, IF he turns up. A simple response to my text would be fine, but no, he simply can't be bothered to tell me he's not coming. There goes another day that I'm held captive at my premises. It's extremely frustrating.","Aug 31, 2023",sendle need get reliable driver pick follow send dedicated driver pick item collected time pick time ridiculous small business know open 8am close 6pm driver mobile number time wo even respond ask still picking sole operator stuck office day till turn turn simple response text would fine simply ca bothered tell coming go another day held captive premise extremely frustrating
1,Lost my package and shipped it back to me,"They said they couldn't deliver the package as they didn't have enough information.  Tried to contact them to see what else they needed, no phone # available, just through the website, then finally contacted them through email.  They said they tried to deliver it twice (the recipient works from home, no one showed), they lost the package for a week and then sent it back to me!!!","Dec 11, 2024",said could deliver package enough information tried contact see else needed phone available website finally contacted email said tried deliver twice recipient work home one showed lost package week sent back
1,This company has proven to be highly…,"This company has proven to be highly unreliable.Five parcels were picked up on December 5, 2024, and have yet to be delivered. The company’s website attributes the delay to heavy rain in the Gold Coast area; however, this claim is demonstrably false.Sendle offers no direct point of contact within Australia. Customer support is limited to an online chat and a call center operated offshore, making it impossible to escalate concerns effectively. When we requested contact information for their Australian office, no such details were provided. Instead, we were met with repeated assurances that an “investigation is underway,” with no clear resolution in sight.These parcels were intended as Christmas gifts for clients and remain undelivered, with no indication of their whereabouts. This lack of accountability and transparency has left us frustrated and unable to seek timely assistance.We strongly advise others to avoid using this company and will be reporting their conduct to the ACCC for further investigation.","Jan 7, 2025",company proven highly parcel picked december 5 2024 yet delivered company website attribute delay heavy rain gold coast area however claim demonstrably offer direct point contact within australia customer support limited online chat call center operated offshore making impossible escalate concern effectively requested contact information australian office detail provided instead met repeated assurance investigation underway clear resolution parcel intended christmas gift client remain undelivered indication whereabouts lack accountability transparency left u frustrated unable seek timely strongly advise others avoid using company reporting conduct accc investigation
1,Absolute garbage,"Ordered 10 days ago, they took 10 days to pick it up, then quoted another 12 days to deliver it.  I paid for expedited shipping!!! Garbage service, no contacts available in canada so you can't contact them, no care in the world to meet sla and zero customer service. I will NEVER use them or buy from a company that uses them.","Dec 15, 2024",ordered 10 day ago took 10 day pick quoted another 12 day deliver paid expedited shipping garbage service contact available canada ca contact care world meet sla zero customer service never use buy company us
1,Can I give negative!,"What an inept company, brutal service, they didn't even try to deliver my package and sent me a picture saying its a large location a tourist destination. It went to the hub and back to my house. They blamed me for their default setting of leave in a safe space. DO NOT USE THESE INCOMPTENT FOOLS.Their customer service is worse than CANADA POST if you can believe that. One an done goofs. Enjoy the demise of your company and crap culture, because you won't last","Nov 27, 2024",inept company brutal service even try deliver package sent picture saying large location tourist destination went hub back house blamed default setting leave safe space use incomptent customer service worse canada post believe one done goof enjoy demise company crap culture wo last
1,Package never picked up,"Since CP is on strike I had to look for an alternative to get my Xmas package shipped. It was easy to book a pickup online but day 1 came and went....no pick up. By day 4 and no updates from Sendle and the pack still not picked up, I had to cancel because it is now past the cutoff date to make it to the destination by Christmas. Very poor communication. They shouldn't have accepted my booking knowing how backlogged their orders are.","Dec 12, 2024",since cp strike look alternative get xmas package shipped easy book pickup online day 1 came went pick day 4 update sendle pack still picked cancel past cutoff date make destination christmas poor communication accepted booking knowing backlogged order
1,Incompetent and Unable to speak to a Human,"Every package allegedly delivered via Sendle to our small townhouse complex of 10 units, is dumped in our ""open to the street"" rubbish bin enclosure outside the complex gates on the driveway. In many cases parcels have just been stolen or disappeared. There is an easily accessible pedestrian gate for the courier to deliver parcels to the correct unit number however this would require actually doing his job and putting in a bit of effort to walk a bit further, so obviously it's just easier to jump out of the van and dump it in the rubbish bin enclosure than actually deliver it to the correct townhouse door. Lazy, incompetent and unprofessional. A few residents have lodged complaints but nothing changes and I was actually told the drivers endeavour to leave parcels in a safe place!  On what planet is an outside rubbish bin enclosure a safe place when it should be delivered to the actual unit number addressed clearly on the parcels. It is pure laziness and lack of care. I am fed up with this happening as are several other residents here in this complex. We will be taking our complaints about Sendle to the ACCC as they are operating their business in a shonky dishonest lazy incompetent way and are virtually impossible to speak to. AVOID USING SENDLE AT ALL COSTS.","Jan 8, 2025",every package allegedly delivered via sendle small townhouse complex 10 unit dumped open street rubbish bin enclosure outside complex gate driveway many case parcel stolen disappeared easily accessible pedestrian gate courier deliver parcel correct unit number however would require actually job putting bit effort walk bit obviously easier jump van dump rubbish bin enclosure actually deliver correct townhouse door lazy incompetent unprofessional resident lodged complaint nothing change actually told driver endeavour leave parcel safe place planet outside rubbish bin enclosure safe place delivered actual unit number addressed clearly parcel pure laziness lack care fed happening several resident complex taking complaint sendle accc operating business shonky dishonest lazy incompetent way virtually impossible speak avoid using sendle cost
1,WIPE THIS COMPANY OUT,"they are a complete disgrace...from inner city sydney to the central coast of nsw 4 weeks later they admit its lost and prompt me to submit a claim... two days after a claim submit they inform me they have found the parcel and are returning it to me ...yes...me not the destination..With the box returned all bashed up and had being opened and crudely taped back up with the plants inside dead...that explains a lot... on the claim form it was stated they wouldnt cover live plants...but hang on , they didnt know it had live plants...i didnt say it did... so it had been opened before i claimed and they already had it ...it wasnt lost at all... this company lies and have zero ethics..the worst of the worst !!","Jan 3, 2025",complete disgrace inner city sydney central coast nsw 4 week later admit lost prompt submit claim two day claim submit inform found parcel returning yes destination box returned bashed opened crudely taped back plant inside dead explains lot claim form stated wouldnt cover live plant hang didnt know live plant didnt say opened claimed already wasnt lost company lie zero ethic worst worst
5,Sendle takes customer service seriously…,"Sendle takes customer service seriously and has worked hard to help resolve issues.  Yes, the Sendle model has a few things it can improve, but I do believe that the Sendle team takes customer service and attempts to implement that input.","May 19, 2023",sendle take customer service seriously worked hard help resolve issue yes sendle model thing improve believe sendle team take customer service attempt implement input
1,"Irresponsible, pathetic service","I wish I would have seen the reviews before using their service.its been 3 daya and no one has showed up to pick up my package. And everyday they update the status that address is closed although the instructions clearly says the package is in letter box.No one came to the door trued to knock or ring the bell. I have the cameras at the property and I cant see anyone coming up and trying to retrieve the package.Irresponsible, pathetic service","Nov 20, 2024",wish would seen review using 3 daya one showed pick package everyday update status address closed although instruction clearly say package letter one came door trued knock ring bell camera property cant see anyone coming trying retrieve pathetic service
1,SENDLE MISSED PICKUP 3 DAYS IN A ROW & STILL COUNTING... EPIC FAIL,"Shocking first time experience using Sendle on Ebay: At closest (& only) Sendle drop off point in Redfern, system was down & unable to scan parcel. Asked me to come back but still not fixed by end of day. I notified Sendle re problem, found next closest location & dropped off parcel in Surry Hills... 72 HOURS LATER - PARCEL HASNT MOVED & SYSTEM FAILURE AT 1ST LOCATION STILL NOT FIXED. Followed up with Sendle Help every day - they keep telling me a driver is assigned & due to collect that day. Original delivery timeframe 4-5 days but now on DAY FOUR & precisely ZERO progress. Ebay promotes these clowns as preferred suppliers which is totally crazy when they're this useless!! Conveniently Ebay will hold my payment til delivery is confirmed & no hope of being paid before Christmas now which is the whole reason I sold the item!! 72hrs delay is unacceptable & still counting! How can drivers get away with not bothering to complete a booking 3 DAYS IN A ROW??? This should NOT happen!! First AND last time I'll use Sendle - even Australia Post is more efficient & that's saying something! Sendle's pathetic performance reflects badly on Ebay sellers & will probably provoke bad feedback from my buyer who is sadly unlikely to see his purchase in time for Christmas. Thanks a lot Sendle!!","Dec 19, 2024",shocking first time experience using sendle ebay closest sendle drop point redfern system unable scan parcel asked come back still fixed end day notified sendle problem found next closest location dropped parcel surry hill 72 hour later parcel hasnt moved system failure 1st location still fixed followed sendle help every day keep telling driver assigned due collect day original delivery timeframe day day four precisely zero progress ebay promotes clown preferred supplier totally crazy useless conveniently ebay hold payment til delivery confirmed hope paid christmas whole reason sold item 72hrs delay unacceptable still counting driver get away bothering complete booking 3 day row happen first last time use sendle even australia post efficient saying something sendle pathetic performance reflects badly ebay seller probably provoke bad feedback buyer sadly unlikely see purchase time christmas thanks lot sendle
1,"Missing package, No help.","I was going to use sendle after the strike. 1 of my packages went missing, after 3 weeks, they tell me I have to wait another 12 days before I can even start a claim. So I have to send customer another item. I am out of pocket, and lost confidence, Back with Canada post again.","Dec 19, 2024",going use sendle strike 1 package went missing 3 week tell wait another 12 day even start claim send customer another item pocket lost confidence back canada post
2,Not Worth the Trouble,"I am US based and started using Sendle for our Amazon/eBay business through Shipstation. Unlike some of the other reviews, they use USPS and not their own drivers.  The ""Good"" is:1) The pricing very competitive especially on small packages.2) They provide insurance on packages.The ""Bad"" is:1) They will only provide their tracking numbers and this confuses Amazon and eBay Customers.2) eBay and Amazon, once they see that tracking number will provide no support on delivery issues and forces the seller to issue an immediate credit.3) Sendle will NOT provide information on Claims that you file.  This is unaccepatable and over time what we found out is that they hide this information because they rarely provide any refunds.  Before writing this review, gave them multiple opportunities to address.In the end, if you are selling on Amazon or eBay they are not worth the trouble.","Jan 4, 2024",u based started using sendle business shipstation unlike review use usps driver good pricing competitive especially small provide insurance bad provide tracking number confuses amazon ebay ebay amazon see tracking number provide support delivery issue force seller issue immediate sendle provide information claim file unaccepatable time found hide information rarely provide refund writing review gave multiple opportunity end selling amazon ebay worth trouble
5,Amazing service!,"Our first package with Sendle was shipped from North Carolina to London, UK. The package arrived in ONE WEEK!! That's absolutely incredible!!","Jun 4, 2023",first package sendle shipped north carolina london uk package arrived one week absolutely incredible
1,We never received our Very disappointed 😔3 packages,We never received our 3 packages. How can packages get lost? I'm very disappointed as these 3 packages contained our personal item from our cross country move that ended up staying behind. Our friends mailed to us and now our personal belongings are forever lost. Very 😔 sad. I am praying that somehow a mircle will take place and we at some point might get them.,"Nov 8, 2024",never received 3 package package get lost disappointed 3 package contained personal item cross country move ended staying behind friend mailed u personal belonging forever lost sad praying somehow mircle take place point might get
1,Absolutely awful.,"Absolutely awful.For one package they picked up, which had expensive camera equipment in it, they actually opened the package and separated the camera parts into two different shipments without any communication. I received some of the parts in new packaging, and had no idea for a few days where the other parts were.Then for other pickups, they just don't show up for days, and eventually after I cancel and use aus psot instead, they send multiple pickup drivers to my house over a week later.","Nov 20, 2024",absolutely one package picked expensive camera equipment actually opened package separated camera part two different shipment without communication received part new packaging idea day part pickup show day eventually cancel use au psot instead send multiple pickup driver house week later
1,Don't bother,Parcel has been sitting on my porch for a week now uncollected. Sendle consistently just blaming the courier without bothering to provide me with a proper investigation or update. Why is it so hard for this company to provide the service I'm paying for? Won't be using them again after this experience.,"Nov 29, 2024",parcel sitting porch week uncollected sendle consistently blaming courier without bothering provide proper investigation update hard company provide service paying wo using experience
1,Just don’t- send your item via carrier…,"Just don’t- send your item via carrier pigeon it will get there quicker and more honestly. I have been waiting for an item for well over 2 weeks sent from within Australia. The courier has lied straight up about attempting to deliver- no one attended our property that day and we were home. They were also instructed to leave on the verandah- no one did or leave a card like they said they did. Trying to get a redelivery is awe full service. No phone service, no response to helpbot, and finally they got back to me after I submitted, I will admit, sarcastic comments and finally said I was going to consumer affairs. No apology, no sign of package coming and I don’t actually believe that the courier will come to our house and drop item off as requested.","Dec 3, 2024",send item via carrier pigeon get quicker honestly waiting item well 2 week sent within australia courier lied straight attempting one attended property day home also instructed leave one leave card like said trying get redelivery awe full service phone service response helpbot finally got back submitted admit sarcastic comment finally said going consumer affair apology sign package coming actually believe courier come house drop item requested
1,Worst delivery courier,"Worst delivery courier service.  Updates tell me that it is being sorted and then left the facility for delivery, then another update telling me that it is still being sorted and then out for delivery.  Worst courier service ever! Never got package.","Updated Dec 22, 2024",worst delivery courier service update tell sorted left facility delivery another update telling still sorted delivery worst courier service ever never got package
1,My experience with this shipping…,"My experience with this shipping company was very disappointing. While the initial price seemed attractive, the service fell far short of expectations. I booked a shipment and scheduled an appointment to receive the package after 3 days, but 8 days later, there was still no progress or action from the company.This delay caused frustration, and the recipient ultimately canceled the order. Overall, it was a lonely and frustrating experience. I do not recommend dealing with them.","Dec 17, 2024",experience shipping company disappointing initial price seemed attractive service fell far short expectation booked shipment scheduled appointment receive package 3 day 8 day later still progress action delay caused frustration recipient ultimately canceled order overall lonely frustrating experience recommend dealing
1,Caution. Very long delivery times from Perth.,"The delivery time from Perth to anywhere is ridiculously long.  The stress it causes me as a casual eBay seller is not worth it.  Be cautious that if you ask for an investigation into a non-delivered package, they take longer by taking 7 days to find the parcel. If not located you can claim on their insurance but this will cover refunding the buyer not the additional missing item.","Oct 24, 2024",delivery time perth anywhere ridiculously long stress cause casual ebay seller worth cautious ask investigation package take longer taking 7 day find parcel located claim insurance cover refunding buyer additional missing item
1,"Lack of tracking, extra charges, missing parcels","1. Their local drop off spot says they don’t have a contract with Sendle and  that they shouldn’t be on Sendles website as such. So, they charge $2 to drop off a parcel. This is above what I paid Sendle for the shipping.2. Tracking doesn’t get updated very often. Have parcel sitting now 7 days in their system with no updates. 3. Missing parcels marked delivered. I’m not a huge shipper. Shipped 5: 2 marked delivered (1 missing), 1 out for delivery, and 2 in transit as I write this. Prices are okay, but time to check out other shipping options.","Updated Dec 9, 2024",local drop spot say contract sendle sendles website charge 2 drop parcel paid sendle tracking get updated often parcel sitting 7 day system update missing parcel marked delivered huge shipper shipped 5 2 marked delivered 1 missing 1 delivery 2 transit write price okay time check shipping option
